102294_at	1	"(2,1)"	"zinc finger protein, subfamily 1A, 1 (Ikaros)"	[TF Goterm]102294_at;	205039_s_at	"zinc finger protein, subfamily 1A, 1 (Ikaros)"
93943_f_at	1	"(2,1)"	"zinc finger protein 36, C3H type-like 2"	[ES]93943_f_at;	201368_at	"zinc finger protein 36, C3H type-like 2"
93662_s_at	1	"(2,1)"	zeta-chain (TCR) associated protein kinase	[ES][TF:oct4]93662_s_at;	214032_at	zeta-chain (TCR) associated protein kinase 70kDa
100302_at	1	"(2,1)"	"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)"	[TF Goterm]100302_at;	36711_at	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)
99965_at	1	"(2,1)"	vitamin D receptor	[TF Goterm][ligand nuclear][TF:h3k27]99965_at;	204253_s_at	"vitamin D (1,25- dihydroxyvitamin D3) receptor"
99817_at	1	"(2,1)"	ventral anterior homeobox containing gene 2	[TF Goterm][TF:suz12][TF:eed][TF:phc1][TF:rnf2][TF:h3k27][RNAi:mm_343880(0.053091)(100)(100)(100)(100)(100)(100)][RNAi:tcl1(0.002396)(100)(100)(100)(100)(100)(100)(100)][RNAi:tbx3(100)(100)(100)(100)(100)(100)(100)(100)][RNAi:esrrb(100)(100)(100)(100)(100)(100)(100)(100)][RNAi:sox2(-0.014732)(100)(100)(100)(100)(100)(100)(100)][RNAi:oct4(100)(100)(100)(100)(100)(100)(100)(100)][RNAi:nanog(100)(100)(100)(100)(100)(100)(100)(100)]99817_at;	220443_s_at	ventral anterior homeobox 2
100030_at	1	"(2,1)"	uridine phosphorylase 1	[ES][TF:oct4][TF:oct4][TF:nanog][TF:nanog][RNAi:esrrb(0.050821)(-0.060793)(-0.119961)(-0.426479)(-0.253562)(-0.725979)(-0.509305)(-0.525414)][RNAi:sox2(-0.102608)(-0.295016)(-0.355103)(-0.409415)(-0.468548)(-0.463137)(-0.427833)(-0.034572)]100030_at;	203234_at	uridine phosphorylase 1
102332_at	1	"(2,1)"	Unc-51 like kinase 1 (C. elegans)	[ES][TF:nanog][TF:nanog][RNAi:sox2(-0.188753)(-0.376681)(-0.293003)(-0.381773)(-0.432902)(-0.353871)(-0.469889)(-0.377994)]102332_at;	209333_at	unc-51-like kinase 1 (C. elegans)
102850_at	1	"(2,1)"	"tyrosine kinase, non-receptor, 2"	[vegf]102850_at;	203839_s_at	"tyrosine kinase, non-receptor, 2"
104679_at	1	"(2,1)"	TXK tyrosine kinase	[vegf]104679_at;	206828_at	TXK tyrosine kinase
101136_at	1	"(2,1)"	"tumor necrosis factor (ligand) superfamily, member 8"	[RNAi:mm_343880(100)(100)(100)(100)(100)(100)(100)][RNAi:oct4(100)(0.125889)(100)(100)(100)(0.069128)(100)(100)]101136_at;	207216_at	"tumor necrosis factor (ligand) superfamily, member 8"
101164_at	1	"(2,1)"	"tumor necrosis factor (ligand) superfamily, member 4"	[TF:nanog]101164_at;	207426_s_at	"tumor necrosis factor (ligand) superfamily, member 4 (tax-transcriptionally activated glycoprotein 1, 34kDa)"
160592_at	1	"(2,1)"	transmembrane channel-like gene family 6	[TF:sox2][TF:nanog][TF:nanog][RNAi:mm_343880(-0.016171)(100)(-0.171037)(100)(-0.237964)(100)(100)][RNAi:tcl1(100)(100)(100)(-0.306736)(100)(100)(-0.291834)(-0.337378)][RNAi:sox2(-0.273012)(100)(-0.34875)(100)(-0.200495)(100)(-0.63463)(-0.456789)][RNAi:nanog(100)(100)(-0.292335)(100)(-0.364239)(100)(100)(-0.308702)]160592_at;	204328_at	transmembrane channel-like 6
93042_at	1	"(2,1)"	translocator protein	[RNAi:nanog(100)(100)(100)(100)(-0.201277)(0.138209)(100)(-0.23821)]93042_at;	202096_s_at	benzodiazapine receptor (peripheral)
94702_at	1	"(2,1)"	"transforming growth factor, beta receptor II"	[TGF GenMAPP][TF:eed][TF:h3k27]94702_at;	208944_at	"transforming growth factor, beta receptor II (70/80kDa)"
101918_at	1	"(2,1)"	"transforming growth factor, beta 1"	[TGF GenMAPP][TF:suz12][TF:eed][TF:phc1][TF:h3k27]101918_at;	203085_s_at	"transforming growth factor, beta 1 (Camurati-Engelmann disease)"
93339_at	1	"(2,1)"	transformed mouse 3T3 cell double minute 4	[TF:nanog][TF:nanog]93339_at;	205655_at	"Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)"
98795_at	1	"(2,1)"	thyroid hormone receptor beta	[TF Goterm][ligand nuclear]98795_at;	207044_at	"thyroid hormone receptor, beta (erythroblastic leukemia viral (v-erb-a) oncogene homolog 2, avian)"
160547_s_at	1	"(2,1)"	thioredoxin interacting protein	[RNAi:tcl1(-0.167333)(-0.182901)(-0.144833)(-0.207266)(-0.325771)(-0.175454)(-0.504857)(-0.376144)][RNAi:esrrb(0.026082)(0.004456)(0.062028)(0.095397)(0.17059)(-0.185573)(-0.404)(-0.377604)][RNAi:oct4(0.410651)(0.363015)(0.567027)(0.623835)(0.398448)(0.657994)(0.152291)(0.231148)][RNAi:nanog(-0.060024)(0.076545)(0.138674)(-0.030286)(-0.234213)(0.706929)(-0.77101)(-0.678721)]160547_s_at;	201010_s_at	thioredoxin interacting protein
93296_at	1	"(2,1)"	T-cell lymphoma breakpoint 1	[ES][TF:rnf2][TF:oct4][RNAi:mm_343880(0.001117)(-0.014994)(-0.086829)(-0.169797)(-0.16893)(-0.339433)(-0.458224)][RNAi:tcl1(-0.438621)(-0.403637)(100)(-0.66186)(-0.532716)(-0.657532)(-0.680595)(-0.531256)][RNAi:tbx3(-0.389604)(-0.238301)(-0.356861)(-0.428494)(-0.294215)(-0.527573)(-0.522157)(-0.384621)][RNAi:esrrb(-0.268434)(-0.45459)(-0.370323)(-0.376142)(-0.631965)(-0.510901)(-0.581331)(-0.447685)][RNAi:sox2(-0.758483)(100)(100)(100)(100)(-0.855739)(-0.919101)(-0.65427)][RNAi:oct4(100)(100)(100)(100)(100)(100)(100)(100)][RNAi:nanog(0.027169)(0.062876)(-0.156962)(-0.310561)(-0.342665)(100)(-0.723242)(-0.61394)]93296_at;	209995_s_at	T-cell leukemia/lymphoma 1A /// T-cell leukemia/lymphoma 1A
92705_at	1	"(2,1)"	T-box 2	[TF Goterm][TF:suz12][TF:eed][TF:phc1][TF:rnf2][TF:h3k27]92705_at;	205993_s_at	T-box 2
100154_at	1	"(2,1)"	TAP binding protein	[RNAi:mm_343880(100)(100)(100)(0.210098)(100)(100)(0.531987)][RNAi:tcl1(100)(100)(100)(0.239823)(100)(100)(0.396492)(100)][RNAi:tbx3(100)(100)(100)(0.395391)(100)(100)(0.588325)(100)][RNAi:esrrb(100)(100)(100)(0.391633)(100)(100)(0.389277)(100)][RNAi:sox2(100)(100)(100)(0.536984)(100)(100)(0.486361)(100)]100154_at;	208829_at	TAP binding protein (tapasin)
